paper;filter;wavelength [angstrom];flux_sum [mJy];flux_sum_sigma [mJy];flux_A [mJy];flux_B [mJy];remarks
Stacey;.;2.5e6;37;10;0;0;.
Stacey;.;3.5e6;30;0;0;0;upper limit
Stacey;.;5.0e6;32;0;0;0;upper limit
Myers;X;3.54e8;69.5;0.16;52.27;17.23;.
Myers;U;2.0e8;58.12;0.25;43.78;14.34;.
Toft;U;3600.85;0.364;0;0.364;0;Only A> error in magnitude not calculated
Toft;B;4306.12;0.655;0;0.655;0;Only A> error in magnitude not calculated
Toft;V;5389.63;0.47068;0;0.463;0.00768;error in magnitude not calculated
Toft;R;6396.64;0.8195;0;0.795;0.0245;error in magnitude not calculated
Toft;I;8559.6;0.7911;0;0.739;0.0521;error in magnitude not calculated
Edwards;.;4.93e7;71.12;0.238;53.15;17.97;Weighted mean taken
Edwards;.;3.47e8;64.03;0.238;47.92;16.11;weighted mean taken
Rusin;.;2.14e9;67.9;0.4;50.8;17.1;.
Rusin;.;5.99e8;73.8;0.1;55.2;18.6;recallibrated in  Asadi paper
Rusin;.;3.56e8;64.1;0.1;48.5;15.5;.
Rusin;.;2.0e8;57.5;0.3;43;14.5;.
Barvainis;.;3.52e6;6.5;0;0;0;upper limit
Barvainis;.;6.66e6;70;0;0;0;upper limit
SDSS;u;3543;0.691872413199581;0;0;0;check wavelength
SDSS;g;4770;0.758623284342725;0;0;0;check wavelength
SDSS;r;6231;0.920504999486268;0;0;0;check wavelength
SDSS;i;7625;0.847278118250898;0;0;0;check wavelength
SDSS;z;9134;0.801717513435348;0;0;0;check wavelength
