filter;wavelength;flux_total;flux_err;flux_G;flux_G_err;flux_A;flux_A_err;flux_B;flux_B_err;flux_C;flux_C_err;flux_D;flux_A_err_1;source;upper_limit
u;3557;0,343577961;0,003164484;0;0;0;0;0;0;0;0;0;0;SDSS;0
g;4703;0,440581249;0;0;0;0;0;0;0;0;0;0;0;SDSS;0
r;6176;0,496621954;0;0;0;0;0;0;0;0;0;0;0;SDSS;0
i;7490;0,608171056;0,005601475;0;0;0;0;0;0;0;0;0;0;SDSS;0
z;8947;0,61378734;0,005653407;0;0;0;0;0;0;0;0;0;0;SDSS;0
g;4810;0.340084038244422;0.00304688091543943;0;0;0;0;0;0;0;0;0;0;Panstarrs;0
r;6170;0.369407959603238;0.00147216460061082;0;0;0;0;0;0;0;0;0;0;Panstarrs;0
i;7520;0.445149867981315;0.00081426813851142;0;0;0;0;0;0;0;0;0;0;Panstarrs;0
z;8660;0.451425667527995;0.000511555566442724;0;0;0;0;0;0;0;0;0;0;Panstarrs;0
y;9620;0.453551125414314;0.0030133936772527;0;0;0;0;0;0;0;0;0;0;Panstarrs;0
