nu_obs,nu_rest,nuLnu,nuLnu_err,upp
599584915999.9999,1512752743067.9998,2.9913421552539425e+45,9.34794423516857e+44,False
856549879999.9998,2161075347239.9995,7.478355388134857e+45,1.0683364840192651e+45,False
1199169832000.0,3025505486136.0,1.2526245275125888e+46,1.4956710776269716e+45,False
13626929909090.895,34380744160636.33,8.490053586544755e+45,2.400808189418203e+45,False
26068909391304.332,65771858394260.836,6.312011062100523e+45,6.301531548960519e+44,False
65314261002178.53,164787880508496.44,7.987394018452173e+45,2.3244838547619293e+44,False
89490285970149.14,225783991502686.28,7.468190611173933e+45,2.212803302378422e+44,False
138792804629629.38,350174246080554.94,9.634441764616783e+45,2.1261301638149182e+45,False
243733705691056.78,614940139458536.2,1.1297066242997043e+46,2.1964583294063572e+45,False
335638667711598.6,846816358636363.4,1.1459645876745096e+46,3.7344299925242786e+44,False
400792056149731.94,1011198357665773.8,1.4125082740001205e+46,1.7223059867888933e+44,False
486202494323709.6,1226688893178719.5,1.332672151240697e+46,1.8740747082313297e+44,False
639761967562953.5,1614119444161331.8,1.472363624079127e+46,2.1160244349302237e+44,False
844247980850465.0,2130037655685723.2,1.5157476735212503e+46,2.82078180519702e+44,False
1297802848484846.5,3274356586727268.0,5.239796783865585e+45,1.9325191596321714e+44,False
1946704272727270.0,4911534880090902.0,1.9487831166829676e+45,2.528497976554188e+44,False
