filter,wavelength,flux_total,flux_err,flux_G,flux_G_err,flux_A,flux_A_err,flux_B,flux_B_err,flux_C,flux_C_err,flux_D,flux_D_err,source,upper_limit,observed_passband
.,2500000,43,10,0,0,0,0,0,0,0,0,0,0,Stacey+2018,0,0
.,3500000,32,7,0,0,0,0,0,0,0,0,0,0,Stacey+2018,0,0
.,5000000,30,0,0,0,0,0,0,0,0,0,0,0,Stacey+2018,1,0
u,3551,0.0559745272710072,5.68030274220066E-10,0,0,0,0,0,0,0,0,0,0,SDSS+DR14,0,0
g,4686,0.071124148643642,1.80420070347324E-10,0,0,0,0,0,0,0,0,0,0,SDSS+DR14,0,0
r,6166,0.128239328518515,3.25297475987835E-10,0,0,0,0,0,0,0,0,0,0,SDSS+DR14,0,0
i,7480,0.181978737215684,4.61616455342229E-10,0,0,0,0,0,0,0,0,0,0,SDSS+DR14,0,0
z,8932,0.233328972339232,1.7760472180391E-09,0,0,0,0,0,0,0,0,0,0,SDSS+DR14,0,0
g,4810,0.0368830008769355,0.000679409984032943,0,0,0,0,0,0,0,0,0,0,Panstarrs+DR2-psf,0,0
r,6170,0.0717837676324616,0.00198345879923345,0,0,0,0,0,0,0,0,0,0,Panstarrs+DR2-psf,0,0
i,7520,0.098180728200792,0.00180855584939555,0,0,0,0,0,0,0,0,0,0,Panstarrs+DR2-psf,0,0
z,8660,0.120233710210329,0.00332218018566803,0,0,0,0,0,0,0,0,0,0,Panstarrs+DR2-psf,0,0
y,9620,0.136655227314973,0.0050345646287227,0,0,0,0,0,0,0,0,0,0,Panstarrs+DR2-psf,0,0
g,4810,0.0545238431892219,0.00147255168609004,0,0,0,0,0,0,0,0,0,0,Panstarrs+DR2-ap,0,0
r,6170,0.0981896905317025,0.00247080321085793,0,0,0,0,0,0,0,0,0,0,Panstarrs+DR2-ap,0,0
i,7520,0.148903941172338,0.00128862001690382,0,0,0,0,0,0,0,0,0,0,Panstarrs+DR2-ap,0,0
z,8660,0.187303583044456,0.00232702744891931,0,0,0,0,0,0,0,0,0,0,Panstarrs+DR2-ap,0,0
y,9620,0.208231292007224,0.00560673344982776,0,0,0,0,0,0,0,0,0,0,Panstarrs+DR2-ap,0,0
0,12300,0.273,0.0382,0,0,0,0,0,0,0,0,0,0,2MASS,0,J (2MASS/FLWO)
0,16600,0.419,0.0547999999999999,0,0,0,0,0,0,0,0,0,0,2MASS,0,H (2MASS/FLWO)
0,21600,0.431,0.083,0,0,0,0,0,0,0,0,0,0,2MASS,0,K_s (2MASS/FLWO)
0,33500,0.469,0.0112,0,0,0,0,0,0,0,0,0,0,WISE,0,W1 (WISE)
0,45900,0.473,0.0139,0,0,0,0,0,0,0,0,0,0,WISE,0,W2 (WISE)
0,115000,0.46,0.0804,0,0,0,0,0,0,0,0,0,0,WISE,0,W3 (WISE)
0,220000,2.58,0.609,0,0,0,0,0,0,0,0,0,0,WISE,0,W4 (WISE)
0,1540,0.0137,0.00392,0,0,0,0,0,0,0,0,0,0,Galex,0,FUV (GALEX) AB
0,2310,0.0162,0.00256,0,0,0,0,0,0,0,0,0,0,Galex,0,NUV (GALEX) AB
OPTIC/B,4322.75,0.0407942026175755,0.000932569474045529,0.00742800035301458,0.000478900880740965,0.0222265427770387,0.000614142072806446,0.0111396594875222,0.000513000277539968,0,0,0,0,Oguri+2008,0,0
OPTIC/R,6554.66,0.120511657152097,0.00147699208611517,0.0718428498715809,0.00132339420122009,0.0307881470136014,0.000567138626835421,0.0178806602669147,0.00032937393426791,0,0,0,0,Oguri+2008,0,0
OPTIC/I,8356.12,0.166127455402923,0.00176061688090727,0.109890888895944,0.00101213249051066,0.0360546834027758,0.00132830362457362,0.0201818831042032,0.000557646038211442,0,0,0,0,Oguri+2008,0,0
LOFAR,2.08E+10,0.54,0.16,,,,,,,,,,,Luichies+2022*,,
