nu_obs,nu_rest,nuLnu,nuLnu_err,upp
599584915999.9999,1522945686639.9998,2.4987260944943178e+45,6.2468152362357944e+44,True
856549879999.9998,2175636695199.9995,2.883145493647289e+45,7.207863734118223e+44,True
1199169832000.0,3045891373280.0,7.68838798305944e+45,1.729887296188374e+45,False
13626929909090.895,34612401969090.87,8.4104163637077e+45,2.102604090926925e+45,True
26068909391304.332,66215029853913.01,4.986172426125306e+45,8.490356835803599e+44,False
65314261002178.53,165898222945533.47,6.309272894797271e+45,2.3734752376249233e+44,False
89490285970149.14,227305326364178.8,5.6646320812460974e+45,2.2787783693592634e+44,False
181692398787878.56,461498692921211.56,5.833273155328803e+45,5.639388314544617e+44,False
335638667711598.6,852522215987460.5,6.783804182841243e+45,2.169113595189394e+44,False
400792056149731.94,1018011822620319.1,7.237240468443058e+45,6.032320789971151e+43,False
486202494323709.6,1234954335582222.5,6.994931017166935e+45,6.748511208664707e+43,False
639761967562953.5,1624995397609902.0,7.088346299092838e+45,6.811926703894427e+43,False
844247980850465.0,2144389871360181.2,6.547250563781197e+45,1.8569118720592755e+44,False
1297802848484846.5,3296419235151510.0,3.4382383010903554e+45,1.6489748900715552e+44,False
1946704272727270.0,4944628852727266.0,8.77608486421594e+44,1.822488361393113e+44,False
