nu_obs,nu_rest,nuLnu,nuLnu_err,upp
352697009411.7645,888091069698.823,1.908846781899326e+44,4.772116954748315e+43,True
599584915999.9999,1509754818487.9995,2.7814624536247328e+45,6.953656134061832e+44,True
856549879999.9998,2156792597839.9993,3.973517790892475e+45,1.0596047442379933e+45,False
1199169832000.0,3019509636975.9995,1.149671147498223e+46,1.6688774721748397e+45,False
13626929909090.895,34312609511090.87,2.747032892110695e+46,2.3811004365781803e+45,False
26068909391304.332,65641513847304.305,2.786809655047298e+46,8.102527951112289e+44,False
65314261002178.53,164461309203485.53,2.0991216094285529e+46,4.605487158192515e+44,False
89490285970149.14,225336540072835.53,1.0364781405134772e+46,1.840470937154391e+45,False
138792804629629.38,349480282057406.75,8.577415711531881e+45,1.4121933247511167e+45,False
180597866265060.25,454745427255421.7,1.7274706752763363e+46,1.1195688522532124e+45,False
243733705691056.78,613721470930080.9,1.7319726646751746e+46,1.6809397293625915e+45,False
335638667711598.6,845138165297805.2,2.521374084655922e+46,2.934102353946391e+44,False
400792056149731.94,1009194397385024.9,3.1005426283914504e+46,2.9404421165302057e+44,False
486202494323709.6,1224257880707100.8,3.1913453243746257e+46,9.502696780972536e+44,False
639761967562953.5,1610920634323516.8,4.204544716884237e+46,1.7816148424211095e+44,False
844247980850465.0,2125816415781470.8,4.3519213779924084e+46,4.131171362970444e+44,False
1297802848484846.5,3267867572484843.0,1.8705467419442477e+46,3.3112769271990422e+44,False
1946704272727270.0,4901801358727265.0,6.176735083410858e+45,1.1198095598297804e+45,False
