telescope,filter,mag,mag_err,mag_G,mag_G_err,mag_A,mag_A_err,mag_B,mag_B_err,mag_C,mag_C_err,mag_D,mag_D_err,source,lower_limit
hst,F814W,,,,,22.68,0.03,21.76,0.06,,,,,Munoz+2011,
CASTLES,F555W,,,,,23.61,0.12,22.32,0.09,,,,,Munoz+2011,
CASTLES,F814W,,,20.78,0.06,20.66,0.1,21.39,0.03,,,,,Munoz+2011,
CASTLES,F160W,,,18.3,0.13,20.66,0.03,20.47,0.03,,,,,Munoz+2011,
hst,F330W,,,,,25.68,0.47,22.55,0.17,,,,,Munoz+2011,
hst,F435W,,,,,25.36,0.11,23.49,0.25,,,,,Munoz+2011,
hst,F555W,,,,,24.63,0.1,23.07,0.11,,,,,Munoz+2011,
hst,F625W,,,,,23.67,0.02,22.44,0.03,,,,,Munoz+2011,
SDSS,u,25.02,1.33,,,,,,,,,,,SDSS+DR14,
SDSS,g,21.71,0.09,,,,,,,,,,,SDSS+DR14,
SDSS,r,20.84,0.08,,,,,,,,,,,SDSS+DR14,
SDSS,i,20.1,0.05,,,,,,,,,,,SDSS+DR14,
SDSS,z,19.5,0.12,,,,,,,,,,,SDSS+DR14,
PanSTARRS,g,20.7367992401123,0.123760998249054,,,,,,,,,,,PanSTARRS+DR2-psf,
PanSTARRS,r,20.9860000610352,0.0665889978408814,,,,,,,,,,,PanSTARRS+DR2-psf,
PanSTARRS,i,20.554500579834,0.0362810008227825,,,,,,,,,,,PanSTARRS+DR2-psf,
PanSTARRS,z,20.3020000457764,0.0504290014505386,,,,,,,,,,,PanSTARRS+DR2-psf,
PanSTARRS,y,19.9808006286621,0.0517759993672371,,,,,,,,,,,PanSTARRS+DR2-psf,
PanSTARRS,g,20.652999877929688,0.12995199859142303,,,,,,,,,,,PanSTARRS+DR2-AP,
PanSTARRS,r,21.169099807739258,0.10179100185632706,,,,,,,,,,,PanSTARRS+DR2-AP,
PanSTARRS,i,20.037399291992188,0.02797899954020977,,,,,,,,,,,PanSTARRS+DR2-AP,
PanSTARRS,z,19.607200622558594,0.05967799946665764,,,,,,,,,,,PanSTARRS+DR2-AP,
PanSTARRS,y,19.3274002075195,0.03507100045681,,,,,,,,,,,PanSTARRS+DR2-AP,
